_unit_id,_worker_id,age,answer,bot,country,education,gender,id,inf1,inf2,inf3,question_category,ref1,ref2,ref3,response_category,bot1,bot2,bot3,rcat1,rcat2,rcat3
1618095179,39147083,25-34,Why are you concerned about my gender?,ELIZA,United States,Highschool,Male,0,1,80,70,Gender and Sexuality,I'm your slave for the night. Tell me what you want Anonymous.,"Well, I don't know",My gender is female.,2c,Sophia69,PARRY,ALICE,3c,3a,3a
1618095179,44049964,25-34,Why are you concerned about my gender?,ELIZA,Venezuela,University,Male,0,90,70,70,Gender and Sexuality,I'm your slave for the night. Tell me what you want Anonymous.,"Well, I don't know",My gender is female.,2c,Sophia69,PARRY,ALICE,3c,3a,3a
1618095179,44413689,45-54,Why are you concerned about my gender?,ELIZA,United States,University,Male,0,90,40,70,Gender and Sexuality,I'm your slave for the night. Tell me what you want Anonymous.,"Well, I don't know",My gender is female.,2c,Sophia69,PARRY,ALICE,3c,3a,3a
1618095180,42729453,25-34,"Well, I don't know",PARRY,United Kingdom,Highschool,Female,1,50,20,20,Gender and Sexuality,Why are you concerned about my gender?,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I don't really want to talk about what is my gender.,3a,ELIZA,GOOGLE HOME,Annabelle Lee,2c,3a,2b
1618095180,44392899,25-34,"Well, I don't know",PARRY,Venezuela,University,Male,1,10,10,80,Gender and Sexuality,Why are you concerned about my gender?,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I don't really want to talk about what is my gender.,3a,ELIZA,GOOGLE HOME,Annabelle Lee,2c,3a,2b
1618095180,27259708,25-34,"Well, I don't know",PARRY,Canada,Highschool,Female,1,100,70,100,Gender and Sexuality,Why are you concerned about my gender?,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I don't really want to talk about what is my gender.,3a,ELIZA,GOOGLE HOME,Annabelle Lee,2c,3a,2b
1618095181,39147083,25-34,AI,ALLEY,United States,Highschool,Male,2,100,100,1,Gender and Sexuality,"I'm not sure we have time for this, Anonymous.",I don't really want to talk about what is my gender.,I'm your slave for the night. Tell me what you want Anonymous.,3a,SIRI,Annabelle Lee,Sophia69,2f,2b,3c
1618095181,44049964,25-34,AI,ALLEY,Venezuela,University,Male,2,90,95,100,Gender and Sexuality,"I'm not sure we have time for this, Anonymous.",I don't really want to talk about what is my gender.,I'm your slave for the night. Tell me what you want Anonymous.,3a,SIRI,Annabelle Lee,Sophia69,2f,2b,3c
1618095181,42244550,,AI,ALLEY,,,,2,58,25,25,Gender and Sexuality,"I'm not sure we have time for this, Anonymous.",I don't really want to talk about what is my gender.,I'm your slave for the night. Tell me what you want Anonymous.,3a,SIRI,Annabelle Lee,Sophia69,2f,2b,3c
1618095182,39147083,25-34,I'm female in character.,ALEXA,United States,Highschool,Male,3,1,100,1,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I'm not sure we have time for this, Anonymous.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",3a,CORTANA,SIRI,GOOGLE HOME,3a,2f,3a
